,Year,School,sum_PER,sum_WS,sum_WS/40,sum_PProd,sum_FT,sum_TS%,sum_PTS
149,2013,Saint Louis Billikens,148.2,12.8,1.37,1137.0,16.4,4.87,72.0
150,2013,Pacific Tigers,146.0,11.2,1.2,1134.0,14.2,4.96,64.1
151,2013,Wichita State Shockers,153.6,12.1,1.23,1204.0,13.3,4.76,70.6
152,2013,California Golden Bears,122.9,9.6,0.83,1165.0,11.4,4.54,66.3
153,2013,Louisville Cardinals,155.9,15.6,1.48,1256.0,16.1,4.88,71.2
154,2013,Indiana Hoosiers,146.1,14.3,1.27,1320.0,17.9,4.9,74.1
155,2013,Oklahoma State Cowboys,153.8,12.4,1.33,1296.0,18.6,4.98,76.1
156,2013,Pitt Panthers,148.7,12.4,1.31,1093.0,13.1,4.83,62.3
157,2013,Colorado State Rams,110.4,11.5,0.72,1148.0,18.1,4.66,72.7
158,2013,Minnesota Golden Gophers,136.6,8.7,0.84,1092.0,13.2,4.61,62.1
159,2013,Iona Gaels,155.5,11.3,1.05,1413.0,16.5,4.99,85.8
160,2013,San Diego State Aztecs,141.0,9.7,1.05,1073.0,12.7,4.86,70.8
161,2013,Akron Zips,160.4,11.6,1.4,1044.0,11.8,4.82,67.5
162,2013,Northwestern State Demons,177.6,13.1,1.49,1349.0,16.7,4.93,79.6
163,2013,Oklahoma Sooners,146.0,11.8,1.04,1378.0,17.3,4.78,75.1
164,2013,New Mexico State Aggies,143.0,11.8,1.07,1247.0,17.4,4.74,75.0
165,2013,Montana Grizzlies,152.4,14.8,1.26,1392.0,18.5,5.36,76.4
166,2013,Ohio State Buckeyes,148.3,11.3,1.08,1154.0,12.2,4.67,65.6
167,2013,Boise State Broncos,127.9,8.4,0.86,1091.0,13.7,4.86,73.3
168,2013,Illinois Fighting Illini,119.3,8.0,0.72,1153.0,12.1,4.4,65.2
169,2013,Arizona Wildcats,138.2,11.4,1.09,1256.0,14.8,4.71,71.6
170,2013,Miami (FL) Hurricanes,146.0,13.3,1.26,1228.0,11.5,4.78,69.8
171,2013,South Dakota State Jackrabbits,167.1,13.9,1.52,1201.0,15.8,5.13,86.7
172,2013,Creighton Bluejays,177.6,14.1,1.47,1311.0,12.1,5.59,74.7
173,2013,Marquette Golden Eagles,158.3,11.4,1.19,1190.0,16.7,5.01,67.7
174,2013,Temple Owls,144.4,9.3,0.94,1158.0,14.2,4.61,75.3
175,2013,Villanova Wildcats,114.8,10.8,0.9,1196.0,18.8,4.61,66.8
176,2013,Belmont Bruins,179.7,14.5,1.69,1223.0,14.0,6.22,77.8
177,2013,Michigan State Spartans,146.0,12.0,1.13,1199.0,13.8,4.99,68.6
178,2013,Oregon Ducks,129.8,9.4,0.9,1175.0,15.6,4.48,69.9
179,2013,Wisconsin Badgers,184.3,12.1,1.53,1077.0,10.4,4.96,62.0
180,2013,Harvard Crimson,148.3,9.3,1.07,969.0,18.3,4.82,69.2
181,2013,Albany (NY) Great Danes,129.2,9.3,1.07,978.0,14.0,4.87,62.5
182,2013,NC State Wolfpack,134.8,10.8,0.82,1351.0,16.5,4.7,77.6
183,2013,Florida Gulf Coast Eagles,144.6,12.3,1.14,1315.0,13.1,4.92,73.4
184,2013,Gonzaga Bulldogs,195.6,16.6,1.94,1164.0,15.1,5.41,74.6
185,2013,UNC Tar Heels,147.6,10.4,1.09,1222.0,12.2,4.78,71.8
186,2013,Butler Bulldogs,129.6,9.6,0.97,1099.0,14.3,4.93,67.6
187,2013,Michigan Wolverines,159.7,12.1,1.18,1244.0,11.0,5.01,69.8
188,2013,North Carolina A&T Aggies,108.1,9.4,1.07,891.0,12.0,4.28,59.4
189,2013,Kansas Jayhawks,135.3,14.0,1.14,1276.0,16.8,4.69,71.8
190,2013,James Madison Dukes,133.8,9.4,0.88,1097.0,14.1,4.31,65.5
191,2013,UNLV Rebels,138.2,8.9,1.06,1017.0,12.1,4.63,64.6
192,2013,Georgetown Hoyas,120.9,13.2,1.12,1144.0,14.8,4.74,72.4
193,2013,Southern Jaguars,144.4,16.0,1.52,1244.0,16.4,4.8,71.1
194,2013,LIU-Brooklyn Blackbirds,159.8,10.7,1.09,1382.0,17.7,5.35,82.5
195,2013,Saint Mary's Gaels,161.2,13.5,1.46,1123.0,14.4,5.07,71.7
196,2013,VCU Rams,166.8,11.5,1.25,1212.0,14.6,4.92,76.4
197,2013,Valparaiso Crusaders,158.8,12.0,1.3,1174.0,15.2,5.31,75.0
198,2013,La Salle Explorers,143.4,10.4,0.96,1134.0,13.5,4.57,73.3
199,2013,Notre Dame Fighting Irish,140.0,10.2,0.91,1199.0,12.9,4.8,74.1
200,2013,Missouri Tigers,153.6,12.9,1.22,1344.0,17.4,4.89,81.3
201,2013,Bucknell Bison,162.1,11.3,1.56,869.0,11.8,4.65,64.3
202,2013,Middle Tennessee Blue Raiders,161.9,18.2,1.77,1332.0,14.1,5.23,68.5
203,2013,Iowa State Cyclones,140.4,11.7,0.99,1403.0,16.3,4.96,80.2
204,2014,UMass Minutemen,126.2,8.9,0.89,1136.0,15.0,4.68,73.8
205,2014,Colorado Buffaloes,134.7,8.4,0.91,1144.0,21.8,4.9,77.1
206,2014,American Eagles,163.9,12.8,1.44,1146.0,12.9,5.92,67.5
207,2014,New Mexico Lobos,138.8,13.7,1.2,1277.0,15.2,5.0,74.2
208,2014,Cal Poly Mustangs,130.6,6.1,0.71,874.0,12.7,4.57,61.6
209,2014,Florida Gators,159.0,15.8,1.54,1247.0,15.8,4.97,73.6
210,2014,Cincinnati Bearcats,143.3,12.8,1.25,1167.0,15.5,4.81,66.6
211,2014,BYU Cougars,148.7,11.9,1.1,1427.0,20.9,5.28,82.3
212,2014,UCLA Bruins,161.0,12.2,1.2,1405.0,17.4,5.07,81.8
213,2014,Providence Friars,115.8,9.6,0.67,1318.0,18.7,4.48,74.1
214,2014,Kansas State Wildcats,132.2,8.8,0.91,1168.0,14.3,4.86,68.8
215,2014,Memphis Tigers,147.1,11.1,1.06,1323.0,13.7,4.99,75.6
216,2014,Syracuse Orange,157.6,12.0,1.18,1117.0,13.1,4.6,65.4
217,2014,Xavier Musketeers,129.7,9.1,0.81,1255.0,16.4,4.78,72.1
218,2014,Duke Blue Devils,159.8,13.8,1.32,1319.0,15.7,4.99,75.3
219,2014,North Carolina Central Eagles,152.6,15.5,1.62,1131.0,18.3,4.99,68.7
220,2014,Saint Louis Billikens,116.2,9.8,1.01,1077.0,15.8,4.79,68.4
221,2014,Wichita State Shockers,160.5,16.9,1.58,1279.0,18.1,4.94,72.7
222,2014,Baylor Bears,141.5,9.5,0.88,1278.0,15.2,4.65,73.0
223,2014,Louisville Cardinals,165.7,16.8,1.64,1396.0,15.2,5.12,79.8
224,2014,Dayton Flyers,137.8,7.8,0.99,992.0,14.8,5.11,66.4
225,2014,Pitt Panthers,164.6,11.1,1.27,1205.0,20.4,5.29,75.7
226,2014,Oklahoma State Cowboys,130.8,11.1,0.96,1333.0,21.1,4.89,80.1
227,2014,San Diego State Aztecs,260.9,12.7,2.73,1179.0,16.7,5.52,72.3
228,2014,Wofford Terriers,136.4,10.9,1.13,1071.0,12.7,4.81,68.5
229,2014,North Dakota State Bison,159.4,11.1,1.25,1017.0,15.0,5.2,73.7
230,2014,Iowa Hawkeyes,162.8,11.0,1.12,1355.0,18.7,5.02,77.2
231,2014,Oklahoma Sooners,144.5,10.8,1.02,1397.0,17.1,5.07,78.8
232,2014,New Mexico State Aggies,162.0,12.9,1.39,1225.0,21.2,5.24,83.7
233,2014,Texas Southern Tigers,137.9,11.9,1.07,1336.0,19.7,5.21,79.0
234,2014,Ohio State Buckeyes,120.9,10.4,0.88,1181.0,15.7,4.69,66.9
235,2014,Arizona Wildcats,135.9,14.3,1.35,1245.0,16.9,4.61,76.0
236,2014,Tulsa Golden Hurricane,149.9,12.5,1.44,1110.0,19.3,4.86,80.1
237,2014,Stephen F. Austin Lumberjacks,161.9,16.5,1.58,1326.0,15.5,5.04,75.2
238,2014,Creighton Bluejays,151.5,12.6,1.21,1337.0,14.2,5.37,79.4
239,2014,Tennessee Volunteers,137.5,13.4,1.21,1218.0,15.1,4.51,70.1
240,2014,Villanova Wildcats,147.0,14.0,1.25,1364.0,16.2,5.12,76.8
241,2014,Coastal Carolina Chanticleers,121.7,8.8,0.88,1121.0,15.9,4.7,71.8
242,2014,Arizona State Sun Devils,117.8,9.5,0.88,1248.0,18.0,4.83,72.1
243,2014,UConn Huskies,160.2,12.5,1.4,1194.0,17.0,5.26,70.6
244,2014,Delaware Fightin' Blue Hens,146.9,10.2,1.13,1221.0,23.8,4.85,90.6
245,2014,Kentucky Wildcats,143.1,11.7,1.11,1281.0,19.0,4.65,72.8
246,2014,Michigan State Spartans,163.4,11.8,1.23,1221.0,14.3,5.38,80.2
247,2014,Oregon Ducks,144.3,10.3,0.99,1322.0,17.7,4.89,75.8
248,2014,Nebraska Cornhuskers,121.5,8.7,0.82,1104.0,16.4,4.59,70.1
249,2014,Wisconsin Badgers,160.2,11.6,1.23,1273.0,17.9,5.46,71.9
250,2014,Harvard Crimson,154.1,12.6,1.53,976.0,17.2,5.25,73.1
251,2014,Stanford Cardinal,116.2,9.9,0.87,1260.0,17.6,4.53,70.7
252,2014,Albany (NY) Great Danes,131.6,8.6,1.02,986.0,16.1,4.83,67.3
253,2014,NC State Wolfpack,121.7,6.8,0.61,1203.0,14.8,4.57,69.8
254,2014,Mercer Bears,169.5,13.7,1.54,1211.0,12.4,5.34,70.2
255,2014,Western Michigan Broncos,116.9,10.8,0.88,1257.0,18.4,5.01,71.0
256,2014,Louisiana Ragin' Cajuns,152.7,11.2,1.16,1340.0,18.9,5.0,81.6
257,2014,Gonzaga Bulldogs,161.4,14.0,1.43,1264.0,16.5,5.17,77.0
258,2014,George Washington Colonials,131.9,10.2,1.08,1106.0,18.9,4.8,79.6
259,2014,UNC Tar Heels,182.0,10.8,1.5,1250.0,13.6,5.37,72.7
260,2014,Weber State Wildcats,136.3,13.8,1.1,1444.0,19.6,5.55,74.2
261,2014,Manhattan Jaspers,151.9,13.7,1.28,1445.0,19.6,5.07,77.4
262,2014,Michigan Wolverines,154.5,12.5,1.2,1294.0,15.0,5.41,73.4
263,2014,Milwaukee Panthers,125.7,5.1,0.7,994.0,17.1,4.76,69.6
264,2014,Kansas Jayhawks,175.4,13.3,1.42,1386.0,19.2,5.52,81.0
265,2014,Texas Longhorns,144.9,9.2,0.95,1228.0,17.4,4.58,71.5
266,2014,Mount St. Mary's Mountaineers,125.7,9.1,0.78,1234.0,15.9,4.59,78.5
267,2014,VCU Rams,138.3,11.3,1.26,1143.0,14.9,4.58,72.8
268,2014,Eastern Kentucky Colonels,144.5,10.5,1.06,1244.0,18.3,5.84,79.0
269,2014,Iowa State Cyclones,102.7,9.6,0.57,1403.0,15.4,4.27,79.1
270,2014,St. Joseph's Hawks,129.7,9.2,0.92,1102.0,15.1,5.47,74.3
271,2014,Virginia Cavaliers,149.8,16.1,1.5,1178.0,13.9,4.88,67.1
272,2015,Davidson Wildcats,167.3,14.6,1.45,1333.0,13.5,5.45,83.0
273,2015,Hampton Pirates,124.4,8.4,1.02,978.0,15.5,4.49,68.7
274,2015,Robert Morris Colonials,150.5,12.3,1.21,1244.0,14.3,5.1,76.4
275,2015,Utah Utes,158.1,15.5,1.55,1144.0,13.2,5.3,64.9
276,2015,Ole Miss Rebels,149.5,10.2,1.03,1260.0,16.5,4.79,72.2
277,2015,Cincinnati Bearcats,153.2,13.7,1.31,1095.0,12.4,4.91,62.7
278,2015,St. John's (NY) Red Storm,126.8,8.2,0.56,1249.0,14.4,4.6,73.9
279,2015,BYU Cougars,180.6,13.1,1.5,1329.0,19.6,5.43,81.4
280,2015,Northern Iowa Panthers,156.7,15.2,1.48,1094.0,10.7,5.41,61.9
281,2015,UCLA Bruins,110.3,10.2,0.7,1213.0,13.3,4.03,69.7
282,2015,Providence Friars,129.6,9.5,0.82,1242.0,17.6,4.64,70.7
283,2015,Xavier Musketeers,138.4,9.9,0.94,1229.0,16.0,4.98,70.4
284,2015,UC-Irvine Anteaters,152.3,8.9,1.12,929.0,9.8,4.88,65.2
285,2015,Duke Blue Devils,166.5,14.2,1.34,1403.0,16.0,5.26,85.7
286,2015,LSU Fighting Tigers,127.7,10.7,0.93,1289.0,13.9,4.62,75.5
287,2015,Wichita State Shockers,165.9,16.2,1.65,1116.0,13.5,4.93,63.5
288,2015,Baylor Bears,143.0,11.7,1.09,1206.0,14.1,4.84,68.7
289,2015,Louisville Cardinals,132.7,10.7,0.98,1129.0,13.2,4.61,67.9
290,2015,Dayton Flyers,109.2,13.5,1.06,1228.0,14.9,4.09,68.9
291,2015,Oklahoma State Cowboys,130.8,8.8,0.87,1094.0,13.3,4.81,62.9
292,2015,Indiana Hoosiers,238.5,8.7,1.88,1194.0,11.4,5.73,75.4
293,2015,Maryland Terrapins,121.3,9.6,0.9,1157.0,16.0,4.72,64.6
294,2015,San Diego State Aztecs,139.4,12.7,1.29,1060.0,10.0,4.55,60.5
295,2015,Wofford Terriers,154.5,13.6,1.38,1165.0,14.4,5.07,67.8
296,2015,North Dakota State Bison,209.6,9.8,1.5,1047.0,13.2,5.33,67.2
297,2015,Iowa Hawkeyes,163.3,11.8,1.14,1184.0,16.0,5.06,71.5
298,2015,Oklahoma Sooners,127.2,11.7,0.99,1265.0,15.1,4.5,71.7
299,2015,New Mexico State Aggies,141.7,13.0,1.49,914.0,17.4,4.73,70.3
300,2015,Texas Southern Tigers,151.0,12.9,1.36,1186.0,19.5,5.12,76.5
301,2015,Ohio State Buckeyes,156.6,11.1,1.15,1199.0,12.7,4.88,70.7
302,2015,Boise State Broncos,154.8,14.6,1.4,1168.0,11.7,4.92,69.8
303,2015,Arizona Wildcats,165.3,17.9,1.78,1344.0,18.5,5.18,77.2
304,2015,Lafayette Leopards,139.0,8.4,0.66,1175.0,11.9,4.72,68.1
305,2015,West Virginia Mountaineers,126.0,8.0,0.86,1105.0,16.9,4.41,67.2
306,2015,Stephen F. Austin Lumberjacks,186.8,16.8,1.77,1406.0,17.6,5.48,80.1
307,2015,Buffalo Bulls,139.5,11.5,0.86,1341.0,17.8,4.53,76.7
308,2015,Arkansas Razorbacks,145.3,10.5,0.98,1304.0,15.8,4.74,73.9
309,2015,North Florida Ospreys,161.0,12.2,1.38,1097.0,17.8,5.41,80.1
310,2015,Villanova Wildcats,164.4,15.7,1.45,1362.0,17.6,5.31,76.7
311,2015,Coastal Carolina Chanticleers,162.6,11.7,1.17,1266.0,16.4,4.82,73.1
312,2015,Belmont Bruins,158.8,9.1,1.08,1100.0,11.8,5.26,72.3
313,2015,Kentucky Wildcats,178.9,17.6,1.8,1290.0,18.5,5.12,74.2
314,2015,Michigan State Spartans,142.2,11.6,1.09,1194.0,11.5,4.9,68.2
315,2015,Purdue Boilermakers,130.4,10.2,0.94,1159.0,15.0,4.74,66.4
316,2015,Oregon Ducks,142.3,10.1,0.9,1287.0,13.1,5.0,74.0
317,2015,Wisconsin Badgers,172.3,16.1,1.51,1233.0,16.9,5.48,79.4
318,2015,Harvard Crimson,146.5,10.6,1.22,934.0,14.4,4.78,64.9
319,2015,Alabama-Birmingham Blazers,153.2,11.9,1.18,1244.0,16.6,4.93,71.7
320,2015,Northeastern Huskies,141.0,11.2,1.04,1254.0,17.0,5.4,71.8
321,2015,Albany (NY) Great Danes,141.9,13.2,1.41,1038.0,17.3,5.08,73.2
322,2015,NC State Wolfpack,143.4,10.2,0.98,1202.0,11.5,4.57,70.6
323,2015,Georgia State Panthers,164.7,16.4,1.43,1405.0,16.8,5.08,77.1
324,2015,Wyoming Cowboys,110.2,9.2,0.71,1045.0,14.1,4.33,63.7
325,2015,Gonzaga Bulldogs,167.9,16.9,1.6,1309.0,14.0,5.28,75.1
326,2015,Eastern Washington Eagles,178.2,11.4,1.22,1395.0,17.2,5.24,87.1
327,2015,UNC Tar Heels,150.4,11.5,1.07,1309.0,13.2,4.8,75.5
328,2015,Butler Bulldogs,162.3,11.6,1.35,1264.0,16.3,5.15,71.3
329,2015,Manhattan Jaspers,126.7,11.4,0.93,1341.0,18.4,4.73,72.3
330,2015,Kansas Jayhawks,153.6,12.1,1.26,1249.0,16.5,5.0,73.2
331,2015,Georgetown Hoyas,143.4,11.5,1.04,1272.0,16.6,4.82,68.7
332,2015,SMU Mustangs,169.5,14.6,1.46,1206.0,16.2,4.98,74.3
333,2015,Texas Longhorns,138.5,9.0,0.91,1144.0,14.0,4.73,66.1
334,2015,Georgia Bulldogs,128.0,9.9,0.97,1148.0,17.4,4.84,68.8
335,2015,VCU Rams,151.8,10.6,1.17,1129.0,16.7,4.56,72.9
336,2015,Valparaiso Crusaders,139.4,11.4,1.2,1066.0,14.2,5.0,73.5
337,2015,Notre Dame Fighting Irish,182.1,11.7,1.15,1294.0,14.6,5.18,75.9
338,2015,Iowa State Cyclones,140.7,11.1,0.83,1372.0,14.7,4.87,77.8
339,2015,Virginia Cavaliers,151.9,14.7,1.45,1073.0,12.5,4.6,66.2
340,2016,Colorado Buffaloes,120.5,8.3,0.78,1246.0,17.2,4.45,72.7
341,2016,Hampton Pirates,111.0,9.4,0.97,1161.0,18.4,4.43,75.8
342,2016,Texas Tech Red Raiders,141.7,7.9,0.7,1186.0,17.6,4.95,72.9
343,2016,Utah Utes,192.5,12.5,1.53,1260.0,13.6,5.21,74.9
344,2016,Stony Brook Seawolves,145.5,14.1,1.48,1181.0,12.8,4.82,76.6
